gene_name	drug_name	interaction_types
AR	METHYLTESTOSTERONE	agonist
NOS1	METHYLTESTOSTERONE	
GABRA1	METHYPRYLON	
GABRA1	METHYPRYLON	antagonist
GABRA1	METHYPRYLON	positive allosteric modulator
GABRA1	METHYPRYLON	
GABRA2	METHYPRYLON	positive allosteric modulator
GABRA3	METHYPRYLON	positive allosteric modulator
GABRA4	METHYPRYLON	positive allosteric modulator
GABRA5	METHYPRYLON	positive allosteric modulator
GABRA6	METHYPRYLON	positive allosteric modulator
GABRB1	METHYPRYLON	positive allosteric modulator
GABRB2	METHYPRYLON	positive allosteric modulator
GABRB3	METHYPRYLON	positive allosteric modulator
GABRD	METHYPRYLON	positive allosteric modulator
GABRE	METHYPRYLON	positive allosteric modulator
GABRG1	METHYPRYLON	positive allosteric modulator
GABRG2	METHYPRYLON	positive allosteric modulator
GABRG3	METHYPRYLON	positive allosteric modulator
GABRP	METHYPRYLON	positive allosteric modulator
GABRQ	METHYPRYLON	positive allosteric modulator
GRIK1	METHYPRYLON	allosteric modulator
GRIK2	METHYPRYLON	allosteric modulator
HTR1A	METHYSERGIDE	
HTR1A	METHYSERGIDE	
HTR1B	METHYSERGIDE	antagonist
HTR1D	METHYSERGIDE	antagonist
HTR1E	METHYSERGIDE	antagonist
HTR1F	METHYSERGIDE	antagonist
HTR2A	METHYSERGIDE	antagonist
HTR2A	METHYSERGIDE	
HTR2A	METHYSERGIDE	
HTR2B	METHYSERGIDE	agonist
HTR2C	METHYSERGIDE	
HTR2C	METHYSERGIDE	antagonist
HTR2C	METHYSERGIDE	
HTR2C	METHYSERGIDE	antagonist
HTR5A	METHYSERGIDE	antagonist
HTR6	METHYSERGIDE	antagonist
HTR7	METHYSERGIDE	
HTR7	METHYSERGIDE	
SERPINA3	METHYSERGIDE	antagonist
HTR1A	METHYSERGIDE MALEATE	partial agonist
HTR2B	METHYSERGIDE MALEATE	antagonist
HTR2C	METHYSERGIDE MALEATE	antagonist
ADRB1	METIPRANOLOL	
ADRB1	METIPRANOLOL	
ADRB2	METIPRANOLOL	
ADRB2	METIPRANOLOL	
ADRB1	METIPRANOLOL HYDROCHLORIDE	antagonist
ADRB2	METIPRANOLOL HYDROCHLORIDE	antagonist
HTR1A	METITEPINE	antagonist
HTR1B	METITEPINE	antagonist
HTR1D	METITEPINE	antagonist
HTR1E	METITEPINE	antagonist
HTR1F	METITEPINE	antagonist
HTR2A	METITEPINE	antagonist
HTR2B	METITEPINE	antagonist
HTR2C	METITEPINE	antagonist
HTR5A	METITEPINE	antagonist
HTR6	METITEPINE	antagonist
SERPINA3	METITEPINE	antagonist
CHRM1	METOCLOPRAMIDE	
CYP11B2	METOCLOPRAMIDE	
CYP1A2	METOCLOPRAMIDE	
DRD2	METOCLOPRAMIDE	
DRD2	METOCLOPRAMIDE	
DRD2	METOCLOPRAMIDE	antagonist
G6PD	METOCLOPRAMIDE	
HTR3B	METOCLOPRAMIDE	antagonist
IL2	METOCLOPRAMIDE	
LOH19CR1	METOCLOPRAMIDE	
DRD2	METOCLOPRAMIDE HYDROCHLORIDE HYDRATE	antagonist
HTR3A	METOCLOPRAMIDE HYDROCHLORIDE HYDRATE	antagonist
HTR4	METOCLOPRAMIDE HYDROCHLORIDE HYDRATE	agonist
CHRNA2	METOCURINE	
CHRNA2	METOCURINE	
CHRNA2	METOCURINE	antagonist
CHRNA1	METOCURINE IODIDE	antagonist
CHRNA2	METOCURINE IODIDE	antagonist
CHRNA2	METOCURINE IODIDE	
CHRNA2	METOCURINE IODIDE	
CHRNB1	METOCURINE IODIDE	antagonist
CHRND	METOCURINE IODIDE	antagonist
CHRNE	METOCURINE IODIDE	antagonist
CHRNG	METOCURINE IODIDE	antagonist
SLC12A1	METOLAZONE	
SLC12A1	METOLAZONE	
SLC12A3	METOLAZONE	
SLC12A3	METOLAZONE	
SLC12A3	METOLAZONE	inhibitor
SLC12A3	METOLAZONE	inhibitor
SLC12A3	METOLAZONE	blocker
DHFR	METOPRINE	inhibitor
ADRB1	METOPROLOL	
ADRB1	METOPROLOL	
ADRB2	METOPROLOL	antagonist
CYP2D6	METOPROLOL	
ADRB1	METOPROLOL FUMARATE	antagonist
ADRA1D	METOPROLOL SUCCINATE	
ADRB1	METOPROLOL SUCCINATE	antagonist
ADRB1	METOPROLOL TARTRATE	antagonist
LEPR	METRELEPTIN	agonist
AR	METRIBOLONE	agonist
AR	METRIBOLONE	agonist
ADORA2A	METRIFUDIL	agonist
ANO1	METRONIDAZOLE	channel blocker
CYP3A4	METRONIDAZOLE	
IL6	METRONIDAZOLE	
TSPO	METRONIDAZOLE	
AGTR1	METYRAPONE	antagonist
CYP11B1	METYRAPONE	inhibitor
CYP11B1	METYRAPONE	
CYP11B1	METYRAPONE	
CYP11B1	METYRAPONE	inhibitor
TH	METYROSINE	inhibitor
TH	METYROSINE	inhibitor
TH	METYROSINE	
TH	METYROSINE	
TH	METYROSINE	inhibitor
HMGCR	MEVASTATIN	inhibitor
AGTR1	MEXILETINE	antagonist
CYP2D6	MEXILETINE	
SCN4A	MEXILETINE	channel blocker
SCN5A	MEXILETINE	blocker
SCN5A	MEXILETINE	
SCN5A	MEXILETINE	
TAC1	MEXILETINE	
SCN10A	MEXILETINE HYDROCHLORIDE	blocker
SCN11A	MEXILETINE HYDROCHLORIDE	blocker
SCN1A	MEXILETINE HYDROCHLORIDE	blocker
SCN2A	MEXILETINE HYDROCHLORIDE	blocker
SCN3A	MEXILETINE HYDROCHLORIDE	blocker
SCN4A	MEXILETINE HYDROCHLORIDE	blocker
SCN5A	MEXILETINE HYDROCHLORIDE	blocker
SCN7A	MEXILETINE HYDROCHLORIDE	blocker
SCN8A	MEXILETINE HYDROCHLORIDE	blocker
SCN9A	MEXILETINE HYDROCHLORIDE	blocker
ESR2	MF101	
ESR2	MF101	agonist
EGFR	MGCD-265	
FLT1	MGCD-265	inhibitor
FLT1	MGCD-265	inhibitor
FLT1	MGCD-265	
FLT1	MGCD-265	inhibitor
FLT4	MGCD-265	inhibitor
FLT4	MGCD-265	inhibitor
FLT4	MGCD-265	
FLT4	MGCD-265	inhibitor
KDR	MGCD-265	inhibitor
KDR	MGCD-265	inhibitor
KDR	MGCD-265	inhibitor
KDR	MGCD-265	
MET	MGCD-265	inhibitor
MET	MGCD-265	inhibitor
MET	MGCD-265	inhibitor
MET	MGCD-265	
MET	MGCD-265	
MET	MGCD-265	inhibitor
MST1R	MGCD-265	inhibitor
MST1R	MGCD-265	inhibitor
MST1R	MGCD-265	
TEK	MGCD-265	
TEK	MGCD-265	inhibitor
TEK	MGCD-265	inhibitor
THRB	MGL-3196	
THRB	MGL-3196	agonist
ADRA1A	MIANSERIN	antagonist
ADRA1B	MIANSERIN	antagonist
ADRA2A	MIANSERIN	
ADRA2A	MIANSERIN	
HRH1	MIANSERIN	
HRH1	MIANSERIN	
HTR2A	MIANSERIN	antagonist
HTR2A	MIANSERIN	
HTR2A	MIANSERIN	
HTR2B	MIANSERIN	antagonist
HTR2C	MIANSERIN	
HTR2C	MIANSERIN	
HTR2C	MIANSERIN	antagonist
HTR6	MIANSERIN	antagonist
PTGER4	MIANSERIN	antagonist
SERPINA3	MIANSERIN	antagonist
GRIA1	MIBAMPATOR	positive allosteric modulator
GRIA2	MIBAMPATOR	positive allosteric modulator
GRIA3	MIBAMPATOR	positive allosteric modulator
GRIA4	MIBAMPATOR	positive allosteric modulator
ANO1	MIBEFRADIL	channel blocker
CACNA1C	MIBEFRADIL	channel blocker
CACNA1G	MIBEFRADIL	channel blocker
CACNA1I	MIBEFRADIL	channel blocker
CACNA1I	MIBEFRADIL	blocker
CATSPER1	MIBEFRADIL	channel blocker
CATSPER2	MIBEFRADIL	channel blocker
CATSPER3	MIBEFRADIL	channel blocker
CATSPER4	MIBEFRADIL	channel blocker
CCR2	MIBEFRADIL	allosteric modulator
CACNA1G	MIBEFRADIL DIHYDROCHLORIDE	blocker
CACNA1H	MIBEFRADIL DIHYDROCHLORIDE	blocker
CACNA1I	MIBEFRADIL DIHYDROCHLORIDE	blocker
AR	MIBOLERONE	agonist
CYP3A4	MICAFUNGIN	
ABCB1	MICONAZOLE	
CYP3A7	MICONAZOLE	
TRPM2	MICONAZOLE	channel blocker
TRPV5	MICONAZOLE	channel blocker
CXCL8	MIDAZOLAM	
GABRA1	MIDAZOLAM	
GABRA1	MIDAZOLAM	
GABRA2	MIDAZOLAM	
GABRA2	MIDAZOLAM	
GABRA3	MIDAZOLAM	
GABRA3	MIDAZOLAM	
GABRA4	MIDAZOLAM	
GABRA4	MIDAZOLAM	
GABRA5	MIDAZOLAM	
GABRA5	MIDAZOLAM	
GABRA6	MIDAZOLAM	
GABRA6	MIDAZOLAM	
GABRB1	MIDAZOLAM	
GABRB1	MIDAZOLAM	
GABRB1	MIDAZOLAM	
GABRB2	MIDAZOLAM	
GABRB2	MIDAZOLAM	
GABRB3	MIDAZOLAM	
GABRB3	MIDAZOLAM	
GABRD	MIDAZOLAM	
GABRD	MIDAZOLAM	
GABRE	MIDAZOLAM	
GABRE	MIDAZOLAM	
GABRG1	MIDAZOLAM	
GABRG1	MIDAZOLAM	
GABRG2	MIDAZOLAM	
GABRG3	MIDAZOLAM	
GABRG3	MIDAZOLAM	
GABRP	MIDAZOLAM	
GABRP	MIDAZOLAM	
GABRQ	MIDAZOLAM	
GABRQ	MIDAZOLAM	
GABRR1	MIDAZOLAM	
GABRR1	MIDAZOLAM	
GABRR2	MIDAZOLAM	
GABRR2	MIDAZOLAM	
GABRR3	MIDAZOLAM	
GABRR3	MIDAZOLAM	
PTH	MIDAZOLAM	
TGM2	MIDAZOLAM	
TNF	MIDAZOLAM	
TPM3	MIDAZOLAM	
GABRA1	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRA2	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRA3	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRA4	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRA5	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRA6	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRB1	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRB2	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRB3	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRD	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRE	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRG1	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRG2	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRG3	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRP	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
GABRQ	MIDAZOLAM HYDROCHLORIDE	positive allosteric modulator
ADRA1A	MIDODRINE	
ADRA1A	MIDODRINE	
ADRA1B	MIDODRINE	
ADRA1B	MIDODRINE	
ADRA1A	MIDODRINE HYDROCHLORIDE	agonist
ADRA1A	MIDODRINE HYDROCHLORIDE	agonist
ADRA1B	MIDODRINE HYDROCHLORIDE	agonist
AURKB	MIDOSTAURIN	inhibitor
ETV6	MIDOSTAURIN	
FGFR1	MIDOSTAURIN	
FLT3	MIDOSTAURIN	
FLT3	MIDOSTAURIN	
FLT3	MIDOSTAURIN	inhibitor
FLT3	MIDOSTAURIN	
FLT3	MIDOSTAURIN	inhibitor
FLT3	MIDOSTAURIN	
FLT3	MIDOSTAURIN	inhibitor
FLT3	MIDOSTAURIN	
FLT3	MIDOSTAURIN	
FLT3	MIDOSTAURIN	inhibitor
FLT3	MIDOSTAURIN	
HSPA4	MIDOSTAURIN	
IL2	MIDOSTAURIN	
IL6	MIDOSTAURIN	
KDR	MIDOSTAURIN	inhibitor
KDR	MIDOSTAURIN	inhibitor
KIT	MIDOSTAURIN	inhibitor
KIT	MIDOSTAURIN	inhibitor
KIT	MIDOSTAURIN	
KIT	MIDOSTAURIN	
KIT	MIDOSTAURIN	
KIT	MIDOSTAURIN	inhibitor
KRAS	MIDOSTAURIN	
NPM1	MIDOSTAURIN	
NTRK3	MIDOSTAURIN	
PDGFRA	MIDOSTAURIN	inhibitor
PDGFRA	MIDOSTAURIN	inhibitor
PDGFRB	MIDOSTAURIN	inhibitor
PIK3CA	MIDOSTAURIN	
PIK3CB	MIDOSTAURIN	
PRKCA	MIDOSTAURIN	inhibitor
PRKCA	MIDOSTAURIN	inhibitor
PRKCB	MIDOSTAURIN	inhibitor
PRKCD	MIDOSTAURIN	inhibitor
PRKCE	MIDOSTAURIN	inhibitor
PRKCG	MIDOSTAURIN	inhibitor
PRKCG	MIDOSTAURIN	inhibitor
PRKCH	MIDOSTAURIN	inhibitor
PRKCI	MIDOSTAURIN	inhibitor
PRKCQ	MIDOSTAURIN	inhibitor
PRKCZ	MIDOSTAURIN	inhibitor
PRKD1	MIDOSTAURIN	inhibitor
PRKD3	MIDOSTAURIN	inhibitor
TNF	MIDOSTAURIN	
NOD2	MIFAMURTIDE SODIUM HYDRATE	
AFP	MIFEPRISTONE	
AR	MIFEPRISTONE	antagonist
BDNF	MIFEPRISTONE	
CCL7	MIFEPRISTONE	
GSTP1	MIFEPRISTONE	
KLK3	MIFEPRISTONE	
LCT	MIFEPRISTONE	
LIF	MIFEPRISTONE	
LPL	MIFEPRISTONE	
NR3C1	MIFEPRISTONE	antagonist
NR3C1	MIFEPRISTONE	
NR3C1	MIFEPRISTONE	antagonist
PGR	MIFEPRISTONE	
PGR	MIFEPRISTONE	antagonist
PGR	MIFEPRISTONE	antagonist
PGR	MIFEPRISTONE	
PGR	MIFEPRISTONE	agonist,antagonist
PLAU	MIFEPRISTONE	
PYGM	MIFEPRISTONE	
SI	MIFEPRISTONE	
GLA	MIGALASTAT	
GLA	MIGALASTAT	modulator
GAA	MIGLITOL	inhibitor
GAA	MIGLITOL	inhibitor
MGA	MIGLITOL	inhibitor
MGAM	MIGLITOL	
MGAM	MIGLITOL	
MGAM	MIGLITOL	inhibitor
MGAM	MIGLITOL	inhibitor
UGCG	MIGLUSTAT	inhibitor
UGCG	MIGLUSTAT	
UGCG	MIGLUSTAT	inhibitor
UGCG	MIGLUSTAT	inhibitor
UGCG	MIGLUSTAT	
CHRM1	MILAMELINE	agonist
CHRM3	MILAMELINE	agonist
CHRM4	MILAMELINE	agonist
CHRM5	MILAMELINE	agonist
BCL2	MILATAXEL	
TUBB1	MILATAXEL	
CD74	MILATUZUMAB	
CD74	MILATUZUMAB	antibody
CD74	MILATUZUMAB	antagonist
CD74	MILATUZUMAB	antibody
CDK1	MILCICLIB	inhibitor
CDK2	MILCICLIB	inhibitor
CDK2	MILCICLIB	inhibitor
CDK4	MILCICLIB	inhibitor
CDK4	MILCICLIB	inhibitor
CDK7	MILCICLIB	inhibitor
NTRK1	MILCICLIB	inhibitor
NTRK1	MILCICLIB	inhibitor
SLC6A2	MILNACIPRAN	inhibitor
SLC6A2	MILNACIPRAN	
SLC6A2	MILNACIPRAN	
SLC6A4	MILNACIPRAN	inhibitor
SLC6A4	MILNACIPRAN	
SLC6A4	MILNACIPRAN	
HTT	MILNACIPRAN HYDROCHLORIDE	inhibitor
NAT1	MILNACIPRAN HYDROCHLORIDE	inhibitor
PDE2A	MILRINONE	inhibitor
PDE3A	MILRINONE	
PDE3A	MILRINONE	inhibitor
PDE3A	MILRINONE	
PDE3A	MILRINONE	inhibitor
PDE3B	MILRINONE	inhibitor
PDE4A	MILRINONE	
PDE4A	MILRINONE	
PDE5A	MILRINONE	inhibitor
PDE3A	MILRINONE LACTATE	inhibitor
ABCB1	MILTEFOSINE	
CSF2	MILTEFOSINE	
PIK3CA	MILTEFOSINE	
PLA2G1B	MILTEFOSINE	inhibitor
TNF	MILTEFOSINE	
ADRB2	MILVETEROL	
ADRB2	MILVETEROL	agonist
ADRB2	MILVETEROL	agonist
ADRB2	MILVETEROL HYDROCHLORIDE	agonist
DRD1	MINAPRINE	
DRD1	MINAPRINE	
DRD2	MINAPRINE	
DRD2	MINAPRINE	
HTR2A	MINAPRINE	
HTR2A	MINAPRINE	
HTR2B	MINAPRINE	
HTR2B	MINAPRINE	
HTR2B	MINAPRINE	antagonist
HTR2C	MINAPRINE	
HTR2C	MINAPRINE	
SLC6A4	MINAPRINE	
SLC6A4	MINAPRINE	
EPCAM	MINERAL OIL	
FDPS	MINODRONIC ACID	
FDPS	MINODRONIC ACID	inhibitor
GGPS1	MINODRONIC ACID	inhibitor
PTAFR	MINOPAFANT	antagonist
ABCC9	MINOXIDIL	
AKR1B1P4	MINOXIDIL	antagonist
ARVD3	MINOXIDIL	antagonist
GLRB	MINOXIDIL	antagonist
KCNJ1	MINOXIDIL	
KCNJ1	MINOXIDIL	
KCNJ10	MINOXIDIL	
KCNJ11	MINOXIDIL	activator
KCNJ11	MINOXIDIL	
APOB	MIPOMERSEN	
ADRB2	MIRABEGRON	agonist
ADRB3	MIRABEGRON	
ADRB3	MIRABEGRON	agonist
ADRB3	MIRABEGRON	agonist
CACNA2D1	MIROGABALIN BESYLATE	modulator
CACNA2D2	MIROGABALIN BESYLATE	modulator
ADRA2A	MIRTAZAPINE	
ADRA2A	MIRTAZAPINE	antagonist
ADRA2A	MIRTAZAPINE	antagonist
ADRA2A	MIRTAZAPINE	
ADRA2B	MIRTAZAPINE	antagonist
ADRA2B	MIRTAZAPINE	antagonist
ADRA2C	MIRTAZAPINE	antagonist
HTR1A	MIRTAZAPINE	
HTR2A	MIRTAZAPINE	antagonist
HTR2A	MIRTAZAPINE	antagonist
HTR2A	MIRTAZAPINE	
HTR2A	MIRTAZAPINE	
HTR2C	MIRTAZAPINE	antagonist
HTR2C	MIRTAZAPINE	antagonist
HTR2C	MIRTAZAPINE	antagonist
HTR2C	MIRTAZAPINE	
HTR3A	MIRTAZAPINE	
HTR3A	MIRTAZAPINE	
LEP	MIRTAZAPINE	
SLC2A4	MIRTAZAPINE	
TRPV4	MIRTAZAPINE	activator
GSR	MISONIDAZOLE	
GSTP1	MISONIDAZOLE	
XDH	MISONIDAZOLE	
PTGER2	MISOPROSTOL	agonist
PTGER3	MISOPROSTOL	
PTGER3	MISOPROSTOL	agonist
PTGER3	MISOPROSTOL	agonist
PTGER4	MISOPROSTOL	agonist
PTGIR	MISOPROSTOL	antagonist
PTGIR	MISOPROSTOL	
PTGIR	MISOPROSTOL	
MLNR	MITEMCINAL	
MLNR	MITEMCINAL	agonist
MLNR	MITEMCINAL FUMARATE	agonist
ABCC8	MITIGLINIDE	
KCNJ10	MITIGLINIDE	blocker
KCNJ11	MITIGLINIDE	
ABCB4	MITOMYCIN	
BGLAP	MITOMYCIN	
BRCA1	MITOMYCIN	
CGB5	MITOMYCIN	
CYP7B1	MITOMYCIN	
DHFR	MITOMYCIN	
FANCC	MITOMYCIN	
IL1A	MITOMYCIN	
KRT18	MITOMYCIN	
LGALS2	MITOMYCIN	
MAPK10	MITOMYCIN	
PALB2	MITOMYCIN	
TACR1	MITOMYCIN	antagonist
TAT	MITOMYCIN	
TP53	MITOMYCIN	
TYMS	MITOMYCIN	
VWF	MITOMYCIN	
XDH	MITOMYCIN	
CYP11A1	MITOTANE	inhibitor
CYP11A1	MITOTANE	inhibitor
CYP11B1	MITOTANE	inhibitor
CYP11B1	MITOTANE	inhibitor
ESR1	MITOTANE	binder
ABCG2	MITOXANTRONE	
BAX	MITOXANTRONE	
BCL2	MITOXANTRONE	
BRCA1	MITOXANTRONE	
DNMT1	MITOXANTRONE	
RPSA	MITOXANTRONE	
TOP2A	MITOXANTRONE	
TOP2A	MITOXANTRONE	
TOP2A	MITOXANTRONE	inhibitor
TOP2A	MITOXANTRONE	
TOP2B	MITOXANTRONE	inhibitor
TOP2B	MITOXANTRONE	inhibitor
UGT1A5	MITOXANTRONE	
TOP2A	MITOXANTRONE DIHYDROCHLORIDE	inhibitor
CHRM2	MIVACURIUM	
CHRM2	MIVACURIUM	
CHRNA2	MIVACURIUM	
CHRNA2	MIVACURIUM	
CHRNA1	MIVACURIUM CHLORIDE	antagonist
CHRNB1	MIVACURIUM CHLORIDE	antagonist
CHRND	MIVACURIUM CHLORIDE	antagonist
CHRNE	MIVACURIUM CHLORIDE	antagonist
CHRNG	MIVACURIUM CHLORIDE	antagonist
HRH1	MIZOLASTINE	antagonist
HRH1	MK-0249	antagonist
HRH2	MK-0249	antagonist
HRH3	MK-0249	inverse agonist
HRH4	MK-0249	antagonist
PPARG	MK-0533	modulator
BDKRB1	MK0686	antagonist
AR	MK-0773	modulator
ADCYAP1R1	MK-0893	antagonist
GCGR	MK-0893	allosteric modulator
GCGR	MK-0893	antagonist
GIPR	MK-0893	antagonist
PTGDR2	MK-1029	antagonist
PLK1	MK-1496	inhibitor
HTR2A	MK-212	agonist
HTR2B	MK-212	agonist
HTR2C	MK-212	agonist
AKT1	MK-2201	inhibitor
AKT2	MK-2201	inhibitor
AKT3	MK-2201	inhibitor
AKT1	MK-2206	allosteric modulator
AKT1	MK-2206	inhibitor
AKT1	MK-2206	inhibitor
AKT1	MK-2206	
AKT1	MK-2206	
AKT1	MK-2206	inhibitor
AKT1	MK-2206	inhibitor
AKT1	MK-2206	
AKT1	MK-2206	inhibitory allosteric modulator
AKT1	MK-2206	
AKT1	MK-2206	inhibitor
AKT1	MK-2206	inhibitor
AKT2	MK-2206	inhibitor
AKT2	MK-2206	
AKT2	MK-2206	
AKT2	MK-2206	allosteric modulator
AKT2	MK-2206	
AKT2	MK-2206	inhibitor
AKT3	MK-2206	
AKT3	MK-2206	
AKT3	MK-2206	inhibitor
AKT3	MK-2206	inhibitor
AKT3	MK-2206	
AKT3	MK-2206	allosteric modulator
BRAF	MK-2206	
CCNE1	MK-2206	
EGFR	MK-2206	
ERBB2	MK-2206	
ERBB2	MK-2206	
EZH2	MK-2206	
HRAS	MK-2206	
KIT	MK-2206	
KRAS	MK-2206	
MPL	MK-2206	
NRAS	MK-2206	
PIK3CA	MK-2206	
PIK3CA	MK-2206	
PTEN	MK-2206	
PTEN	MK-2206	
FGFR1	MK-2461	inhibitor
FGFR2	MK-2461	inhibitor
FGFR3	MK-2461	inhibitor
FLT1	MK-2461	inhibitor
FLT3	MK-2461	inhibitor
FLT4	MK-2461	inhibitor
KDR	MK-2461	inhibitor
MERTK	MK-2461	inhibitor
MET	MK-2461	inhibitor
MET	MK-2461	inhibitor
MET	MK-2461	inhibitor
MET	MK-2461	inhibitor
MST1R	MK-2461	inhibitor
NTRK1	MK-2461	inhibitor
NTRK2	MK-2461	inhibitor
PDGFRB	MK-2461	inhibitor
CALCRL	MK3207	antagonist
PSCA	MK-4721	
AURKA	MK-5108	inhibitor
AURKA	MK-5108	inhibitor
AURKA	MK-5108	inhibitor
AURKA	MK-5108	inhibitor
AURKA	MK-5108	inhibitor
AURKA	MK-5108	inhibitor
AURKB	MK-5108	inhibitor
AURKB	MK-5108	inhibitor
AURKB	MK-5108	inhibitor
AURKC	MK-5108	inhibitor
AURKA	MK-6592	inhibitor
AURKB	MK-6592	inhibitor
AURKC	MK-6592	inhibitor
ESR1	MK-6913	agonist
ESR1	MK-6913	
ESR2	MK-6913	agonist
ESR2	MK-6913	
PTGDR2	MK-7246	antagonist
MET	MK-8033	inhibitor
MET	MK-8033	inhibitor
MST1R	MK-8033	inhibitor
MAPK1	MK-8353	inhibitor
MAPK3	MK-8353	inhibitor
GRIA1	MK-8777	positive allosteric modulator
GRIA2	MK-8777	positive allosteric modulator
GRIA3	MK-8777	positive allosteric modulator
GRIA4	MK-8777	positive allosteric modulator
MTOR	MLN-0128	inhibitor
IKBKB	MLN-0415	
IKBKB	MLN-0415	inhibitor
IKBKE	MLN-0415	inhibitor
PIK3CA	MLN-1117	inhibitor
CCR2	MLN-1202	antagonist
CCR2	MLN-1202	
CCR2	MLN-1202	antagonist
ARAF	MLN-2480	inhibitor
ARAF	MLN-2480	inhibitor
BRAF	MLN-2480	inhibitor
BRAF	MLN-2480	
BRAF	MLN-2480	inhibitor
KRAS	MLN-2480	
RAF1	MLN-2480	inhibitor
RAF1	MLN-2480	inhibitor
CCR9	MLN3126	antagonist
AURKA	MLN-8054	inhibitor
AURKA	MLN-8054	inhibitor
AURKA	MLN-8054	inhibitor
AURKB	MLN-8054	inhibitor
ITGB2	MLNM-2201	inhibitor
ERBB3	MM-121	
ERBB3	MM-121	antagonist
ERBB3	MM-121	antibody
ERBB3	MM-121	antibody
ERBB2	MM-302	
ERBB2	MM-302	
TOP2A	MM-302	inhibitor
HDAC1	MOCETINOSTAT	inhibitor
HDAC1	MOCETINOSTAT	inhibitor
HDAC1	MOCETINOSTAT	
HDAC1	MOCETINOSTAT	inhibitor
HDAC10	MOCETINOSTAT	
HDAC11	MOCETINOSTAT	
HDAC11	MOCETINOSTAT	inhibitor
HDAC2	MOCETINOSTAT	
HDAC2	MOCETINOSTAT	inhibitor
HDAC2	MOCETINOSTAT	inhibitor
HDAC3	MOCETINOSTAT	inhibitor
HDAC3	MOCETINOSTAT	
HDAC3	MOCETINOSTAT	inhibitor
HDAC4	MOCETINOSTAT	
HDAC5	MOCETINOSTAT	
HDAC6	MOCETINOSTAT	
HDAC7	MOCETINOSTAT	
HDAC8	MOCETINOSTAT	
HDAC8	MOCETINOSTAT	inhibitor
HDAC9	MOCETINOSTAT	
KMT2A	MOCETINOSTAT	
CBX4	MOCLOBEMIDE	inhibitor
MAOA	MOCLOBEMIDE	inhibitor
MAOA	MOCLOBEMIDE	inhibitor
MAOA	MOCLOBEMIDE	
MAOA	MOCLOBEMIDE	
MAOB	MOCLOBEMIDE	inhibitor
P2RX7	MOCLOBEMIDE	allosteric modulator
CYP2D6	MODAFINIL	
CYP2D6	MODAFINIL	
GRIN2A	MODAFINIL	antagonist
GRIN2B	MODAFINIL	antagonist
GRIN2C	MODAFINIL	antagonist
P2RX1	MODAFINIL	agonist
SLC6A3	MODAFINIL	inhibitor
SLC6A3	MODAFINIL	
MC1R	Modimelanotide	agonist
MC3R	Modimelanotide	agonist
ACE	MOEXIPRIL	
ACE	MOEXIPRIL	
ACE	MOEXIPRIL	inhibitor
ACE	MOEXIPRIL HYDROCHLORIDE	inhibitor
RARA	MOFAROTENE	modulator
RARB	MOFAROTENE	modulator
RARG	MOFAROTENE	modulator
RXRA	MOFAROTENE	modulator
RXRB	MOFAROTENE	modulator
RXRG	MOFAROTENE	modulator
CCR4	MOGAMULIZUMAB	antibody
CCR4	MOGAMULIZUMAB	antibody
DRD2	MOLINDONE	
DRD2	MOLINDONE	
DRD2	MOLINDONE	binder
HRH1	MOLINDONE	antagonist
HTR2A	MOLINDONE	antagonist
DRD2	MOLINDONE HYDROCHLORIDE	antagonist
HTR2A	MOLINDONE HYDROCHLORIDE	antagonist
EGFR	MOMELOTINIB	inhibitor
ERBB2	MOMELOTINIB	inhibitor
ERBB3	MOMELOTINIB	inhibitor
JAK1	MOMELOTINIB	inhibitor
JAK1	MOMELOTINIB	inhibitor
JAK2	MOMELOTINIB	
JAK2	MOMELOTINIB	inhibitor
JAK2	MOMELOTINIB	inhibitor
JAK3	MOMELOTINIB	inhibitor
ANXA1	MOMETASONE	
NR3C1	MOMETASONE	
NR3C1	MOMETASONE	agonist
NR3C1	MOMETASONE	agonist
NR3C1	MOMETASONE	
CCL11	MOMETASONE FUROATE	
CD44	MOMETASONE FUROATE	
NR3C1	MOMETASONE FUROATE	agonist
TYR	MONOBENZONE	inhibitor
TYR	MONOBENZONE	inhibitor
CALCRL	MONOETHANOLAMINE	antagonist
RAMP3	MONOETHANOLAMINE	antagonist
RAMP3	MONOETHANOLAMINE	antagonist
TAP2	MONOETHANOLAMINE	antagonist
CYSLTR1	MONTELUKAST	antagonist
